"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"Lepidopterous_","23 July 2019","This remake manages to suck all the life out of the original. It really is like watching National Geographic while hearing The Lion King (1994) on in the other room. There is a total disconnect between what you are seeing on-screen and what you are hearing or supposed to feel-so much that I am surprised this was not noticed early on and left on the cutting room floor. Baloo in Favreau's The Jungle Book (2016) alone should have been a warning sign.At its best, the soundtrack is only as good as the original. I was waiting out for Beyoncé and Donald Glover hoping maybe they would save it with charm, humor, or chemistry, but Beyoncé oversings/overacts and Glover's few moments just aren't enough. John Oliver does steal his scenes as Zazu and I'm a fan of Scar's character design. Visual effects are extremely well done, but for a production that looks so true-to-life, most of the film is lifeless.Very disappointed.","
            9/10
            "
"Breumaster","27 December 2019","I think it sure must be a lot of brain work to imagine how the real scenes in Afrika will match with the animations. Jon Favreau, which I do admire for his works, did a real good and visionary job, and so did the camera department and the animators. I really liked the little changes that show a more developed story than the full animated original. I would give it the full 10/10, if there would have been a better dub in Germany, because not all of the voices did fit. Scar's voice was way too soft. But that's not the only voice. When it came to the sequence with Timon and Pumbaa, it really got very strong and had funny moments, I didn't expect. If Walt Disney could see it, he would be delighted. For most of his 22 (!) Oscars he was awarded for animal documentations. This movie unites both worlds of cinema - fictional animated and dramatized story with landscape documentations. I like how the animals look and specially how they move! The story is all in all the same.","
            6/10
            "
"donttouchmeprimate","20 October 2019","You know the song, where ""can you feel the loooooove tonight"", and it looks like the lions are about to bang? Yeah, Beyonce kind of went all over the place with that and it sounded weird.Anyways, visually it was beautiful but characters just lacked emotion, I think this was a deliberate choice but it causes a lack of investment from a viewer's perspective. The cast were hit and miss, if you've seen it then you'll know who was great and who were rubbish.But yeah. At least it's not as bad as the mess that was Aladdin","
            3/10
            "
"matthewssilverhammer","26 July 2019","My question going into the latest ""pay-us-for-your-nostalgia"" Disney-remake was, ""Why do we need this? What new can it bring?"". Technically, the CGI animation is impressively state-of-the-art and new. Otherwise, my worst fears were warranted. It's not just similar to its source material but is 100% the same in almost every aspect. From moment one, when the iconic ""NAAAH SA-VIN-YAAAH!"" bursts forth, I realized they were so beholden to the '94 classic they didn't even bother rerecording that vocal. It sets the stage for both the larger things (story beats / scenes), as well as the smaller things (specific line deliveries), to be a lazy karaoke tune. So frustratingly unimaginative, it makes 2019's Aladdin look like a feat of original storytelling.
Thankfully, the greatness of the story is left untouched, though it was already plenty great without being redone. The few things that are changed don't expand the story, but just extend scenes past the point of reasonable story economics. We're forced to sit through self-congratulatory animation montages that are useless beyond ""look what we did!""
Crowds seem to be going for the cast, and many of those performances are the highlights. Listening to Glover & Beyonce sing together is special, Scar is decently rendered, and Rogen & Eichner offer the most unique and successful moments. Still, with dialogue so slavish, you can sense the actors desperately trying not to copy what they grew up hearing.
Honestly, even the technical brilliance is often a hindrance. By making the animals photoreal, we take away individual personalities, physical nuances, and even facial expressions, all of which help us relate to their plight. So, again I ask, why do we need this?","
            6/10
            "
"fightsense","30 July 2019","Another Hollywood smack in the face, great animation with so much promise until the characters started talking, the new actor replacements were HORRIBLE! NO emotions in the voices NOTHING...NOTHING! ZERO emotion, as if these actors didn't care or were just reading there lines in a room by them selves. This was just a travesty, a classic... RUINED by terrible acting , TERRIBLE Direction, just HORRIBLE! WHO the HELL made these decisions??!! With the very few dialog add ons WHY would you re cast WHY????? Why would you remove Jeremy Irons as Scar?? WHY??? Why would you put emotionless actors as Simba, Nala etc.. Yes Beyoncé was not good not at all, no emotions just terrible and ruined the original music. Seth Rogan was ok, yeas just Ok not close to as funny as the original Pumba.. AVOID AT ALL COSTS!","
            6/10
            "
"dalefl","21 July 2019","For the people who are saying that Walt Disney stated in his will that he wanted the movies to be remade every 10 years: That is not even close to what he said. What is in his will is his desire to have the movies re-released into theaters in order for new generations to enjoy them. That was a common practice throughout Disney's history and he just wanted it to continue after he was gone.As far as this one goes, I was hoping for better. Nice CGI, the music is good, but the voice acting was barely passable and it lacked the emotion that was such a big part of the original. Overall very disappointing.","
            8/10
            "
"claudio_carvalho","23 November 2019","In Africa, the lion cub Simba is the pride and joy of his parents King Mufasa and Queen Sarabi. Mufasa prepares Simba to be the next king of the jungle. However, the naive Simba believes in his envious uncle Scar that wants to kill Mufasa and Simba to become the next king. He lures Simba and his friend Nala to go to a forbidden place and they are attacked by hyenas but they are rescued by Mufasa. Then Scar plots another scheme to kill Mufasa and Simba but the cub escapes alive and leaves the kingdom believing he was responsible for the death of his father. Now Scar becomes the king supported by the evil hyenas while Simba grows in a distant land. Sometime later, Nala meets Simba and tells that the kingdom has become a creepy wasteland. What will Simba do?""The Lion King"" is an unnecessary remake of the 1994 animated film. The songs are boring and the nice images tell a story without soul. In the end, this version is beautiful but does not give any emotion to the viewer. My vote is six.Title (Brazil): ""O Rei Leão"" (""The Lion King"")","
            6/10
            "
"acam-02875","26 December 2019","What a great movie. I did not watch the original, but I loved this one. It is a compelling story and the realism of the images is just unbelievable, I was in awe throughout the movie. Despite being so realistic it had a very idyllic fantasy touch to the scenes which I enjoyed very much. I guess for young children it may be scary at times for being so realistic.","
            8/10
            "
"n-middleton-117","20 August 2021","When you take one of the greatest stories to grace the silver screen and then combine it with exceptional visual effects, you'd expect the end product to be a wonderful contemporary refresh, ready to captivate young hearts and minds all over again. However, in the process of trying to out a slightly new spin on the Lion King, they've tampered with some elements that have detracted from the value of the film.So many reboots of classic films have fallen victim to the same adaption of storyline's to try and appease more contemporary audiences, but almost always end up being worse. The Lion King doesn't deviate from the original script and story as much as some other modern remakes, but it does still mix it up. Some of the changes arguably a small improvement, but some are significantly worse. The original film has so many subtle lessons, but sadly some of the best ones have been altered or removed entirely in this new version.Overall, the story is still close enough to the original to be decent, and the visual effects are quite remarkable. Although, the animals' faces appear somewhat dull, as the hyper realism doesn't allow for the same range of expression as the original cartoon.Overall, it's not a bad interpretation of the original, but a far cry from stellar heights of its predecessor. It's a movie that definitely didn't need to happen though.","
            6/10
            "
"Box_mixman","22 November 2019","When I was a kid, I knew lots of peers who loved the original, the singing and everything, I didn't think too much of it then, the singing was too much.
But I have grown more fond of it, and this new one was really great!. Almost made this 33yo guy sing along and wish for more, especially once I saw Timon and Pumba, I had forgotten about those!. Hakuna Matata!.The visuals are also very stunning!, this is perhaps the most detailed work I have seen yet, in certain scenes you could think it was filmed in reality.The few things I didn't like was that it actually felt like many scenes just.. just.. needed a little more time, talking 5-30seconds. To get a little more involved with few of the characters, just to see them more, because it felt like they were passing by just to show things a few times, otherwise they were so great in conveying emotion, movement, often.With all this said, I also hope they still will do more ""real"" cartoons in the old style, the aim shouldn't be to always just make it advanced in tech, but also I don't think this movie suffers from it.
I am not a mega fan of the original who's seen that one many times, so I can't comment on what might have been left out or whats different.","
            1/10
            "
"ironhorse_iv","24 January 2020","It's sad because this I was really looking forward to seeing what filmmakers Jon Favreau & Jeff Nathanson could do to make to make this photorealistic computer animation not live action remake stand out from Disney's classic animated 1994 film of the same name. Yet this film heavily influenced by Shakespeare's 'Hamlet' & Japanese anime ""Kimba the White Lion' felt like a rethread. Don't get me wrong, the story of Simba (Voiced by Donald Glover) having to retake his kingship does have some new things going for it. However the added backstory of how the villain got his name & how the famine start didn't really enhance the viewing experience. Honestly it lean more to becoming a bigger illogical plot hole on why the lionesses would continue to follow his lead knowing full well that he once challenge Mufasa (Voiced by James Earl Jones), force their queen for sex & continue to mistreated them. After all in this adaptation, Chiwetel Ejofor's version doesn't have the Machiavellian charm that Jeremy Irons brought in the original movie to make them trust him. To add onto that, Scar is not ruthless powerful enough to overtake their physical strength both in size and numbers if they rebelled. In the original he was. After all, he killed most of the Lion Guards including Nala (Voiced by Beyonce Knowles)'s father. In this movie, he's just an untrustworthy scrawny recluse whom cover story doesn't make much sense. He didn't even knock out the witness. Instead he exiled Zazu (Voiced by John Oliver) yet the bird still considering warn the lionesses of his lying. So you would think that the cover story would be expose long ago. On a similar beat, even if Scar didn't get cocky in deus ex machina way and expose the truth about Mufasa's death like an idiot. The lionesses didn't ask the wildebeests what happen in the first place seem odd. Even if the herd are sentient. Lionesses should be more willing to hear Simba out when he come back. He could expose who led him into the gorge to practice roaring. The only thing I can think of the pride thinking otherwise is if a Scar follower like Zira was introduce into the film. That or Simba having shown severe psychological issues or seem more physical mangy than Scar. After all, no lion will became a strong mane just by eating bugs. All this could had made the ending more logically. Still this remake needs more humor. I hate that the comic relief aspects are toned down to make everything gritty including the hyenas with no Ed. They now lack less personality, nowhere near expressive and are taken too serious. Yet the biggest letdown is how the film interpreted Hakuna Matata. According to Timon (Voiced by Billy Eichner) & Pumbaa (Voiced by Seth Rogen), there is no circle of life only a meaningless line of indifference. The way they said it, made responsibility free philosophy seem highly negative & nihilism than fun. No wonder they seem more coldblooded and open to help the carnivores killed their fellow animals. Don't get me wrong, they may have protection due to their closeness with Simba, but there still a famine going on. The chance of them getting eaten is high. Anyhow, the filmmakers still ruin the enjoyable humor with them. For example, jokes about being a pig is turn into a somber forced message about standing against bullies. It's unfunny PC comedy at its worst. Padding also made the movie suffer. 88 minutes runtime is now 2 hrs. The flick really wanted to prove that there is more of a Circle of Life than Hakuta Matata by painfully showing long sequences of fur travelling in the wind or a mouse wandering around. Talking about Circle of Life. I do find it odd that the lions has achieved harmony with the animals they eat by exodus hyenas under the pretense that they weren't part of it like an evil diaspora. The idea that they overhunt is outrageous. In real life, hyenas are vital components the ecosystem. They gotten a bad wrapped in these folktales. Simba should figure out a way to coexist with them. Another unique thing the movie could had done is use more of the Broadway Musical beside the trailer. At least, most of the original songwriters return to add new touches to their memorable hits even if the visuals to follow it are a bit lackluster. For example 'I Just Can't Wait to Be King' & ""Be Prepared"" sequences just doesn't compared to the fun original trippy animation with the cubs doing circus tricks or gusto delivery of strong fascism imageries of the hyenas. Then there is the opening of ""Can You Feel the Love Tonight?"" whom visuals also don't match the tone as it is still board daylight when sung. It also sucks that the triumphant score played over Simba racing back was replaced with ""Spirit"". It doesn't quite have the same heroic tone need for the audience to understand his journey. As for voice acting. Besides Ejofor being way off, most of the other performers were alright even if Beyoncé has her limits, Rogen can't sing and Jones sounds old. However it was very jarring to see the filmmakers remove nearly all range of human-like anthropomorphizing expressions. It made true to life creatures look so emotionless & stilted. Sadly making the animals move realistic also hurt the action as the film kinda screw up Simba's childhood pinning move. Even memorable spiritualism moments like Mufasa's physically spirit appearing in the clouds is tone down. Very little emotional punch. Regardless the CGI looks vivid accurate. Still overall I'll probably not see this remake again. The highest grossing animated movie of all time as of this writing is not really worth stepping foot on the lion den again and getting bit. That's for sure. I'll stick to the original.","
            10/10
            "
"Vartiainen","9 August 2019","I did not want to see this movie. I did not want the Mouse to think that I in any way support this new trend of simply remaking old Disney classics with wooden actors and sparkling CGI. But alas, I was dragged into the movie theatre anyway, and here I am, telling you that I'm deeply ashamed that the Great Black Mouse of Disney has my money. Yet again.Because I was right in not wanting to see this film. Because this is the bottom of the barrel. The other movies have kind of been shot for shot remakes, but every single one of them has had at least something new. Some other angle, some twist, to make it interesting. This, one the other hand? Holy cow in heaven, is this bad. The beginning, for example. You know, The Circle of Life, one of the most recognizable and striking movie openings in history. The exact same. Shot for shot, camera angle for camera angle, the exact same. Except, you know, not as colourful, iconic or fetching. Because it's supposed to look real. Which in this case apparently means that everything looks either more wrinkled, dusty and/or dirty in general. Because that's Serengeti for you. According to the film makers.Luckily they stopped with the exact shot for shot soon after that, thank heavens, but that was only a minor relief. Because you know what else happens, when you try to make everything look as real as possible? Aside from everything looking like it's going to give you fleas. It makes everything look emotionless! Lions are not exceptionally renowned for their wide range of facial expressions, you know. The reason you can make animated movies with animals as the main characters is because animation doesn't care that lions can't have facial expressions. You can go outside the realms of biology and what's strictly speaking possible. You can exaggerate, emote and play loose with the rules. You can use colours, shapes and perspectives to compensate, to make it look interesting. This film has none of that! It's a dull, emotionless, flat table reading of dialogues we all know and love, but which are given nothing to support them.Not helping the matter is the fact that they hired celebrity voice actors. These people are talented entertainers, yes, and they look fetching on a poster, but none of them is exactly renowned for their voice acting capabilities. And boy does that show! Even James Earl Jones sounds like he's about to keel over and pass beyond the veil at any moment. There's very little of the majesty and gravitas of the original Mufasa left in his performance.And I actually misspoke earlier. This thing has one new thing in it. A song. A song by Beyonce, named Spirit. Because apparently that was the price of getting her on board. Or perhaps Disney wants an Original Song Oscar nomination. I don't know, but the song is awful and feels exactly like what it is. A forced, jammed in last-minute addition.Saints in heaven, was this a bad movie. It's a bit over a week after I saw it, but writing this review actively ruined my morning. I feel awful even thinking about this. About the fact that Disney has made incredible amounts of money with this. That they're going to keep making these.And I contributed to it. I think I might be sick. Excuse me.","
            7/10
            "
"noahl-51210","12 July 2019","Most people give 1 stars to remakes because they are ""nothing like the original."" Now I'm seeing a bunch of 1 stars because it's ""exactly the same as the original."" So.... it seems some people just can't be pleased.","
            1/10
            "
"kirviti","4 November 2020","I'm shocked to see so many 1 star reviews! Really unbelievable. It's not a masterpiece like the original but it's still good. The only problem is that there is not much emotion, but otherwise it's still joyful, funny and visually stunning. The songs are not very good, especially ' Can you feel the love tonight' sounds like a cash-grab and 'Be Prepared' is horrible. If you haven't watched The Lion King, I recommend watching the 1994 original rather than this. It's just like a pastime and not really memorable. I must admit that a year after I watched it in theatres in July 2019, in 2020, I could not remember a thing from this movie. It's somehow very forgettable. I watched it again this year. Good movie but huge degrade from the original. Aladdin remake was much better. Please just watch the original. I start crying every time when I watch the original, when the movie starts and I don't know why, but I never do for this remake. It's just so soulless.","
            6/10
            "
"timeblank","3 August 2019","People here are saying it's so good, epic, and amazing! Yeah right! I can say the movie has its achievements in the visuals but for the story and the characters especially with their emotions. It truly takes away the feeling you felt from the original. It's a remake. Yeah sure but why leave out the important parts in the movie. Why destroy everything what made the Lion King so great?If you enjoy spending your money and wasting your time, I am not here to stop you. But I recommend you watch the original animated version because that is a masterpiece. Not this fake remake of a movie!","
            6/10
            "
"Gordon-11","18 July 2019","I tried hard to like this film, but I didn't like it. Perhaps I am not a fan of films with talking animals. The problem I find is that the film is rather slow and monotonous. The constant arid background gets boring. It is like watching National Geographic, only more boring. The only good thing is the presence of the two friends of Simba, they provide comic relief with the songs with changed lyrics.","
            9/10
            "
"almiraomerovic","23 July 2019","Why they didn't yet give credit to Kimba : the white lion???
Thieves.P. S. Good CGI.","
            6/10
            "
"jackson_ro","16 November 2019","Undoubtedly gorgeous, filled with a memorable story, song and characters, but definitely not as magical as the original. Watching the newest Lion King feels like I'm watching the Discovery Channel, as the scene and animals are incredibly lifelike, but that is also the problem, all the silliness of the original was taken out just so the film could be more of a visual masterpiece. In the end, this iteration is simply a CGI masterpiece featuring a great story, and not one of the greatest movie of all time.","
            8/10
            "
"tso_jong","12 July 2019","If I hadn't watched the original movie, I would have easily given this movie a 9/10, the CGI is well-made, and there is a compelling story. The only problem is that I know the 1994 movie way so well that I can even recall all the lines, so everything about this movie becomes way too predictable. With that said, I don't mind reliving the childhood memories once again, and I would recommend this movie to the new generation.","
            7/10
            "
"emmanuttall25","31 August 2019","I loved the Disney version growing up and I don't think Some Disney movies should be remade. As soon as the music started I started crying but that's because it took me back to my childhood and how much I loved this move. Word for word it's exactly the same as the Disney version, they look real which is probably the best bit. But for some reason I hated Beyoncé singing on it. I don't feel the need to watch again it was just alright","
            1/10
            "
"bhernandez2216","13 July 2019","Hakuna Matata. What a wonderful phrase. Hakuna Matata. Ain't no passing phrase. The Lion King (2019) is the #1 Movie in the World. It brings a whole joy of magic of Disney and wonders, all over again. The Lion King is one of the best instant classic Disney remakes of another generation to remember the King of Pride Rock. It's a very beautiful live-action film, like the original. They did the exact same lines and scenes from the original, but in a different way of making something new out of it. And it can make you laugh, cry, and feel the love for this movie to have fun and enjoy for the whole family.","
            10/10
            "
"jackgdemoss","25 July 2019","For only rating this movie as a 7/10, I sure feel like I have a lot to say about it. The vision of the film was clearly to make the most realistic version of the classic tale as possible, and it succeeded spectacularly in that way. The wildlife and natural scenery were bar none in the world of CGI grounded in realism. This also happens to be its greatest downfall, however. By creating ultra-realistic lions, they sacrifice a huge part of what made the original lion king so special: emotional expressivity in the faces of the animals. So now we have reached an interesting point in our movie-tech, where we can create animation that looks worse but portrays human emotion well, or we can make things hyper-realistic. I look forward to the day we can have both. The voice acting cast was phenomenal. Specifically, John Oliver, Donald Glover, and Seth Rogan came out to play. Beyonce and Glover were interesting to hear sing together, with Glover holding down the lower, constant melodies, and Beyonce controlling the song. There were times that it felt Beyonce was going a bit too far and the character no longer felt like Nala, but rather, Beyonce.","
            6/10
            "
