"Title","Usernames","Reviewer_Date","Reviewer_Content","Rating"
"Ratatouille","cricketbat","28 December 2018","Not only does Ratatouille do a fantastic job of portraying the joy of eating, but it also features one of my favorite animated movie moments of all time (the childhood flashback scene). Yes, the premise is goofy and, yes, rodents are actually pretty disgusting, but that doesn't make me love this movie any less. This is one of the Pixar greats.","
            9/10
            "
"Ratatouille","bobsgrock","22 January 2008","The greatest test of whether or not a film is truly admirable is how well it holds up years after its release. It has been almost three years since Ratatouille has been released and I have now seen it at least four times, maybe more. I am proud and thrilled to say that it has not lost any of its charm, still looks amazing and holds up better than almost any film I've seen as many times as I've seen this.It's hard to put your finger on, but why exactly is Pixar able to create these astonishingly good films that aren't just entertaining and delightful, although they certainly are that. They are able to tap into the very realms of the human condition, and with this bring to the surface emotions and feelings you come to not expect from an animated film because after all, animated automatically infers a film for children.Of course Ratatouille breaks that mold and I am just so pleased that I got caught up in the world of Remy once again. With their endless budget from Disney, Pixar can create and explore any aspect necessary and writer/director Brad Bird does just that. The story here comprises elements of drama, sadness, family relations, job pressures, as well as a wonderful monologue near the end by a critic for critics. The story is pitch-perfect, always understandable and the foundation for which the film is made.And, since it is Pixar and Disney, the look and feel of the film is so engrossing, it looks better than other animated films made after it. One of the things Pixar does so well is find the middle ground in making elements of the frame look real but not too real, thus still maintaining an animated universe. They did it with the water in Finding Nemo, the cars in Cars, and they do it here with the food, which at times looks so real you want to taste it.I really can't say anything bad about Ratatouille. Even the story elements of how Remy and his human counterpart, Linguini, are able to work together work because this is the animated world which lends itself to more freedoms than our world. The voices are terrific from Patton Oswalt to Ian Holm to the great Peter O'Toole as deathly-thin food critic Anton Ego. There really isn't anything here that doesn't work and Michael Giacchino's score emits the spirit of Paris that sets the background for this story. This is just a great film, perfect in its story, its characters and the wonderful, vibrant world it creates. Years after its release, Ratatouille continues and will continue to impress and immerse viewers in a touching story with beautiful surroundings about the cutest rat in the world becoming a chef in Paris. Only animation, and only Pixar, could make this a film and succeed.","
            10/10
            "
"Ratatouille","seruanyre","20 January 2023","""Ratatouille"" is a culinary delight that is sure to satisfy even the most discerning of palates. The film, directed by Brad Bird and Jan Pinkava, tells the story of a young rat named Remy who dreams of becoming a chef. The animation is absolutely stunning and the attention to detail is unparalleled. The vibrant colors and intricate textures of the food are sure to make your mouth water.The story is heartwarming and relatable, with Remy's passion for cooking and determination to pursue his dream despite the obstacles he faces. The voice cast, led by Patton Oswalt as Remy, is spot on and brings the characters to life in a way that is both endearing and entertaining. The humor is clever and never forced, making for a truly enjoyable viewing experience.One of the standout elements of ""Ratatouille"" is its portrayal of the culinary world. The film immerses you in the bustling kitchen of a top Parisian restaurant and makes you feel like you are right there alongside Remy and his human colleagues. The film does an excellent job of showcasing the hard work, dedication, and artistry that goes into creating great food.","
            10/10
            "
"Ratatouille","superfan18","11 June 2007","Tonight I went to see Ratatouille during a preview offered to Myspace users in Boston. Overall the movie was GREAT! It was really funny, often in unexpected places, the storyline kept you engaged the entire time and the overall mood was lighthearted and inspiring. A real ""feel-good"" movie. I admit I was a bit skeptical going in, I mean the idea of a rat in a kitchen kind of left me queasy, but I left the theater excited to see it again when it is released. The voice actors are excellent and the animation is amazing. I've been to Paris before and the overall views were very accurate. At times I could tell exactly where in the city the events were taking place. Overall a fabulous movie, I highly recommend it!","
            10/10
            "
"Ratatouille","mstramba","17 June 2007","Fantastic ! ... Can't wait to get the DVD ! The technical / animation / lighting ..etc aspects of the film are awesome. Pixar has raised the bar again.The best thing about the movie, is that it showcases Pixar's ""mantra"" , that being story, story ...story. That along with having great characters/animation/dialog, which you just forget ... or never even consider are digital puppets.The humor was great too, the gags / situations character acting all contributing to making situations that ""kids of all ages "" could ""get"".There is on one level the entire story, of Remy and Linguini, but then there are 3 or 4 or more subplots and a number of dramatic scene changes which almost felt like separate chapters of the main story. That all contributed ..for me at least... to keeping the movie very interesting right to the end.While I found a few things predictable, there were also quite a few twists and and unexpected events / scenes, that just kept giving me more new ""stuff"" to enjoy 10 / 10 Mike","
            10/10
            "
"Ratatouille","Galina_movie_fan","17 February 2008","When ""Ratatouille"" (2007) was released last summer, I was not too eager to see the animated 106 minutes long film about a rat in a kitchen of a five-star Parisian restaurant. The idea seemed too original and brave for my taste. As film had been shown all over the world, I kept reading and hearing only great reviews for it. Then, my brother who usually does not get exited about any movie, told me that ""Ratatouille"" was absolutely charming, captivating, funny and moving at the same time, and the most charming about it was Remy, a rat, ""little chef"" with huge talent in the fine art of cooking. I saw the movie last weekend and I am happy to agree with my brother completely. ""Ratatouille"" has everything for every viewer to enjoy - technical excellence, amazing colors, highly original images, and the voices that matched the characters perfectly. The film is a clever satire and the moving story that will be interesting for the adults and children alike. Where the movie succeeds admirably - in showing on the screen the process of cooking which can be as inspiring and creative as painting, writing, or composing the music: ""How can I describe it? Good food is like music you can taste, color you can smell. There is excellence all around you. You need only to be aware to stop and savor it."" Speaking of how the movies sometimes affect our life - after we saw ""Ratatouille"" together with my husband, he demanded that I cooked him a Ratatouille that would take him back to his happy childhood days and rock him to his core just like the one that Remy prepared for a ""grim eater"", the universally feared food critic Anton Ego.Not every year, an animated film is nominated for five Academy awards, and I wish ""Ratatouille"" victories in every category. It deserves them all.","
            10/10
            "
"Ratatouille","TheLittleSongbird","31 July 2009","I really loved Ratatouille, it was original, sweet and lots of fun. While not as laugh-out-loud funny as the two Toy Story films, it is definitely one of the better Pixars, and a complete delight from start to finish. Honestly, the whole family will find it just as delightful as I did, and the film has a great message ""a great cook can come from anywhere"", summed up perfectly by Anton Ego. The story was highly original, if a little slow at the beginning, and deliciously engaging up to the last minute, and the animation was just spellbinding. The script, while not as irreverent as Toy Story, was very entertaining and touching, and I loved the characters- everyone was likable and unique, but what made Remy stand out for me was because he was so adorable, and his voice actor did a delightful job voicing him. The voice cast were very talented, and all did a superb job, especially Peter O'Toole in a marvellous turn as the ""nasty"" food critic Anton Ego. All in all, a brilliant film, that fully succeeded in what it promised to do, to make us want to cook. 8.5/10 Bethany Cox.","
            8/10
            "
"Ratatouille","Smells_Like_Cheese","19 July 2007","Another masterpiece from Disney and Pixar, this year they bring us another family classic for generations to come, Ratatouille. My friend and I saw Ratatouille tonite and we just had a blast watching it, this film was such a pleasure and was so funny and cute. I would say that actually this is Pixar's best work, they have come such a long way from Toy Story, it's incredible. But Ratatouille had amazing animation that was so real, makes you wonder if we'll ever need actors in the future, lol. The story is just so charming and a perfect fit for any family to watch, even just to watch this film on your own, I guarantee you will have fun watching it.Remy is a rat with a special gift, a gift of smell, he uses this gift to cook. He's not just any ordinary cook, but an amazing one at that, but when he gets separated from his family, he is haunted by the most famous chef in the world, he ends up in Paris. Where he finds a restaurant that was once grand and has slipped up when it comes to good food. An ordinary garbage boy messes with a stew in the kitchen, when Remy sees this, he helps him out. Linguini, the garbage boy, accepts Remy and together they create masterpieces and bring the restaurant back up. They must keep it a secret how they create these fantastic foods; but that gets so much harder when people try to find out how he's so talented.Ratatouille is such a charming Disney/Pixar film, the animation is great, and the story is just terrific. The actors voices were so great and fit the characters well. If you are looking for a film to see this summer, Ratatouille is definitely a recommendation, it's good to know that Pixar is going to keep giving us these great animation films that I know will be considered classics for a very long time. Ratatouille is delicious, I loved this film.10/10","
            10/10
            "
"Ratatouille","robcat2075","17 June 2007","I just saw ""Ratatouille"" tonight.It's a first class movie. Several thoughts come to mind...-The character performances are so good, I think there's no sort of movie they couldn't make. I've heard Pixar's John Carter of Mars is going to be live action? No! I want them to do it all animated.-""Cars"" definitely _was_ a lower-value softball they threw to finish out that original Disney-gets-half-of-everything-plus-sequel-rights contract they were in at the time. I remember all the clucking last summer about how Pixar had lost its way.-There were a few moments when they seemed to lose that stylized reality they had established and things looked merely ""real"".-There was one scene in the latter part of the film where I thought ""I can't believe they are doing this tired movie cliché"" but they pulled out of it at the last second and made it something new.-The 2D-ish end credits were great. Stick it out to the very end to see the mo-cap disclaimer!-With this, Brad Bird is certainly one of the animation gods now.","
            9/10
            "
"Ratatouille","tedg","15 July 2007","Its easy to see how this story came about. Animators are puppeteers first. So if you asked an animator to come up with a story, naturally you will find two features: one would involve two on-screen characters, one the animator of the other. We have many jokes associated with how imperfectly the on-screen animator (our hero) works his puppet at first. Incidentally, this movie is preceded in the theater by a short: ""Lifting."" It features a novice ""animator"" of precisely this type, being graded. Notice the infinite panel of switches in that short.Count on Pixar to find yet another way to fold introspection into the form. This is elaborated by the character of a critic. We see him first in a coffin-like office. He's only capable of destruction it seems. Voiced by Peter O'Toole in a stentorian voice-about-theater, he likes what he sees (tastes). Its a great trick you see. Usually this trick is in the form of an on screen audience watching some sort of climactic performance. When they cheer, we do too, as we become folded into the story.In this case, that is handled by a place made for us and occupied by ""the critic."" So we have a place in the story for the animator and the viewer. What else? We'll need a place for the animation, right? And we have it.It appears first as a book by a now dead, corpulent chef. This book, natch, comes alive. Look how ""Ted's law"" is followed: the distance between the ""real"" world of ourselves and the animated movie is the same as that from the animated movie and the ""living cartoon"" within. Its an explicit fold. And the fact that the inner cartoon has an open, personal feel to it conveys to the personal feel we are intended to have with the Pixar movie.So these three folds: in the story is the story, the animator and the viewer. And the introductory short sets this up too.Having said that, there are a couple noteworthy segments. In terms of the actual craft, Pixar has two areas in which it innovates.One of these in how space is handled. The Pixar guys realized early on that if the three dimensions are going to be modeled anyway, you can zip the camera around in new ways. Early in the game they did this in an overt way. That's been picked up by the summer action films, the best of them, including the Depp pirate business. (Another Disney project benefiting from the eye motion lab.)You can see this throughout the project: there are both all sorts of well managed, unusual perspectives, and a constant overlay of new shots. By this I mean that every shot is just a little different than what you've seen. Just a little canted. A little closer perhaps. A little movement that a physical camera cannot do well.But there are some big production sequences as well. I'm particularly interested in architectural water. Its a unique cinematic challenge. Its not one done well in animation because the mathematics of simply making water look real is daunting. Pixar has done what needs to be done: they have made water hyper-real, dramatic. There's a sequence here that is something like that Pinnochio sequence of 67 years ago with the whale. But its so new and fresh and exciting. Look at the water and see that it has a million tiny agents all seeking to be angry  to do damage but never reaching consensus on just how to attack. This alone is worth the admission.There's another thing that is uniquely Pixar: how characters move. Its a tricky thing, that. As with the water, it is not ever enough that they move realistically. You can make realistic movements by outfitting actors with sensors and translating that to the created beings. It captures nuance. And if you have a particularly skilled source actor, he or she will move not as a real person would, but as an actor would to convey reality. Real isn't real. We need hyperreal in special ways to get- read the reality.The credits of this movie ostentatiously say that """"Our Quality Assurance Guarantee: 100% Genuine Animation! No motion capture or any other performance shortcuts were used in the production of this film."" You can see it. We are entering a new era where both the cameras and the characters can use dramatic motions not possible with human eyes and bodies.Its a challenge for viewers. What do we accept as embodiment? So far, the answer is that the non-natural movements must always be in the service of conveying or seeming natural. But I imagine at the speed this is developing, we may soon see something more.One character note: Colette is voiced by the remarkable Janeane Garofalo. As with our hero, she has that French nose. As the love develops between these two, she becomes decidedly more sexy, both in voice and appearance. Its the appearance that I remark on here. Its all done with postures and a motorcycle. That motorcycle is there in part to allow her to bend forward, and change her lower anatomy. These folks at Pixar are good. Darn good. Glad its Steve Jobs as the creative inspiration instead of that evil other guy.Ted's Evaluation -- 3 of 3: Worth watching.","
            10/10
            "
"Ratatouille","fyapar-27303","28 June 2019","In many ways, the work of a critic is easy. We risk very little, yet enjoy a position over those who offer up their work and their selves to our judgment. We thrive on negative criticism, which is fun to write and to read. But the bitter truth we critics must face is that, in the grand scheme of things, the average piece of junk is probably more meaningful than our criticism designating it so...This movie is perfect. This movie is the reason why I write movie reviews. This movie helped me appreciate effort and art. This movie helped me defeat my prejudices against things I don't really know.It is a perfect kids movie, it is a perfect adult movie. Most Pixar movies actually contain very mature messages and this movie's message, ""anyone can cook"" is why we watch movies. Movies are meant to inspire the audience and this movie does a great job. Show this to a kid, they will watch it over and over again. I know because I used to watch this movie every single day.This is not Remy's movie, this is not Linguini's movie, this is definitely not Gusteau's movie. This is Anton Ego's movie. The character development of Anton Ego is phenomenal. We see an arrogant critic become a humble and honest person, and it is what we should become at the end of the day. Most of us start out as arrogant and we do not appreciate effort and talent. However we must learn to give credit where it is due. We see Ego's journey in becoming this modest person, he changes for the better.The final scene is one I cannot praise enough. Seeing Ego complete his arc This movie is an inspiring masterpiece, something we really need in the movie industry today.Maybe I highly rate this movie because of my memories watching it. The scene where he tastes the ratatouille is exactly how I felt re-watching this movie. When I rewatched this movie I experienced something new, an appreciation of kids movies and their messages. This movie changed my whole perception on animated movies. Today, most movies are cash grabs produced with the sole purpose of making profit from tickets and action figures. We need more movies like Ratatouille in this world. In this critic's opinion, this movie is nothing less than the finest movie in history.","
            10/10
            "
