"Category","Brand_Description","Price","Review_Count","Rating"
"Dog Toy ball"," HIPPIH Dog Puzzle Toy 2 Pack, Interactive Dog Toys for Treat Dispensing, Durable Puppy Toys for Teething Small Dogs, Dog Treat Ball for Teeth/Slow Feeder/IQ Training/Playing  4.3 out of 5 stars 3,470  3K+ bought in past month$9.99$9.99 List: $11.99$11.99Join Prime to buy this item at $8.99 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 ",9,"3,470","4.3 out of 5 stars"
"Dog Toy ball"," Chuckit! Ultra Tug Dog Toy, Medium Fetch and Dog Ball Tug Toy for Dogs 20-60 Pounds  Options:3 sizes4.5 out of 5 stars 15,001  2K+ bought in past month$7.69$7.69 List: $12.99$12.99$7.31 with Subscribe & Save discount FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 ",7,"15,001","4.5 out of 5 stars"
"Dog Toy ball"," Gnawsome Medium Squeaker Ball Dog Toy, Medium 3.5"", Colors will vary, All Breed Sizes  4.5 out of 5 stars 7,021  2K+ bought in past month$3.92$3.92 List: $4.99$4.99$3.72 with Subscribe & Save discount FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 ",3,"7,021","4.5 out of 5 stars"
"Tumbler"," +16 colors/patternsFimibuke 40 oz Tumbler with Handle & Fruit Infuser, Stainless Steel Vacuum Insulated Cup with Lid & Straw, Water Infusion Bottle Cupholder Friendly Travel Mug Valentines Day Gifts for Women Men Her  4.7 out of 5 stars 71  300+ bought in past monthLimited time deal   $9.99$9.99 Typical: $19.99$19.99 FREE delivery Thu, Feb 1 on $35 of items shipped by AmazonOr fastest delivery Wed, Jan 31 ",9,"Amazon's Choice: Overall Pick","4.7 out of 5 stars"
"Tumbler"," +27 colors/patternsSimple Modern 40 oz Tumbler with Handle and Straw Lid | Insulated Cup Reusable Stainless Steel Water Bottle Travel Mug Cupholder Friendly | Gifts for Women Men Him Her | Trek Collection | Almond Birch  Stainless Steel4.8 out of 5 stars 23,801  10K+ bought in past month$29.99$29.99 FREE delivery Thu, Feb 1 on $35 of items shipped by AmazonMore Buying Choices$20.83(16 used & new offers)",29,"Stainless Steel","4.8 out of 5 stars"
"Tumbler"," +1 color/patternALBOR 30 oz Tumbler With Handle and Straw, Tumbler, Insulated Tumblers, Tumbler With Lid And Straw, Stainless Steel Tumblers, Tumblers With Lids And Straws, Tumbler With Handle (Metal)  Stainless Steel4.7 out of 5 stars 2,824  100+ bought in past monthLimited time deal   $8.49$8.49 Typical: $16.99$16.99 FREE delivery Thu, Feb 1 on $35 of items shipped by Amazon",8,"Stainless Steel","4.7 out of 5 stars"
"Tumbler"," +6 colors/patternsZenbo 40 oz tumbler with handle and straw,Keeps Drinks Cold up to 34 Hours,Fit in Car Cup Holder,Dishwasher Safe and BPA Free  Stainless Steel4.4 out of 5 stars 325  100+ bought in past monthLimited time deal   $11.99$11.99 List: $23.99$23.99 FREE delivery Thu, Feb 1 on $35 of items shipped by AmazonOr fastest delivery Wed, Jan 31 ",11,"Stainless Steel","4.4 out of 5 stars"
"Tumbler"," +6 colors/patternsALBOR 20 oz Tumbler - Insulated Coffee Tumbler With Handle and Straw, Coffee Thermos, Travel Coffee Mug Cup, Coffee Travel Mug, Insulated Coffee Mug with Lid, Insulated Tumblers (Peony Pink)  🏆Best Tumbler & Handle4.7 out of 5 stars 7,776  600+ bought in past monthLimited time deal   $8.39$8.39 Typical: $11.99$11.99 FREE delivery Thu, Feb 1 on $35 of items shipped by AmazonOr fastest delivery Wed, Jan 31 ",8,"🏆Best Tumbler & Handle","4.7 out of 5 stars"
"Tumbler"," +22STANLEY IceFlow Stainless Steel Tumbler with Straw, Vacuum Insulated Water Bottle for Home, Office or Car, Reusable Cup with Straw Leakproof Flip  Stainless Steel4.6 out of 5 stars 23,327  4K+ bought in past month$35.00$35.00 FREE delivery Thu, Feb 1 Or fastest delivery Wed, Jan 31 More Buying Choices$24.36(28 used & new offers)",35,"Amazon's Choice: Popular Brand Pick","4.6 out of 5 stars"
"Tumbler"," +7 colors/patternsZenbo 40 oz Tumbler with Handle, Straw Lid, and Cupholder-Friendly Design | Insulated Stainless Steel Travel Mug, Reusable Water Bottle | Leak-Proof, Dishwasher Safe  Stainless Steel4.5 out of 5 stars 126  50+ bought in past monthLimited time deal   $11.47$11.47 Typical: $22.95$22.95 FREE delivery Thu, Feb 1 on $35 of items shipped by Amazon",11,"Stainless Steel","4.5 out of 5 stars"
"Tumbler"," +3All Around Travel Tumbler with Handle Stainless Steel Double-Wall Vacuum Insulated  Stainless Steel4.7 out of 5 stars 2,058  3K+ bought in past monthLimited time deal   $34.95$34.95 List: $39.95$39.95 FREE delivery Thu, Feb 1 on $35 of items shipped by AmazonOr fastest delivery Wed, Jan 31 More Buying Choices$26.03(10 used & new offers)",34,"Stainless Steel","4.7 out of 5 stars"
"Tumbler"," +25Stanley Quencher H2.0 FlowState Stainless Steel Vacuum Insulated Tumbler with Lid and Straw for Water, Iced Tea or Coffee  Stainless Steel4.7 out of 5 stars 42,952  20K+ bought in past month$45.00$45.00 FREE delivery Thu, Feb 1 Or fastest delivery Wed, Jan 31 More Buying Choices$40.43(63 used & new offers)",45,"Stainless Steel","4.7 out of 5 stars"
"Tumbler"," +14 colors/patternsInsulated 40oz Tumbler with Handle and Straw Lid - 100% Leak-Proof - Cupholder Friendly Travel Mug - Stainless Steel Insulated Tumbler with lid and straw - Gifts for Women Men Him Her  Stainless Steel4.5 out of 5 stars 507  4K+ bought in past month$16.99$16.99 List: $34.99$34.99 FREE delivery Thu, Feb 1 on $35 of items shipped by Amazon",16,"Stainless Steel","4.5 out of 5 stars"
"Tumbler"," +18 colors/patterns30 oz Tumbler with Lids and Straws,18/8 Stainless Steel Vacuum Insulated Coffee Tumbler,Insulated Travel Mug Water Cup with Leak-Proof Straw Lid & Flip Lid,3 Metal Straws,1 Cleaning Brush & Gift Box  Stainless Steel4.5 out of 5 stars 6,230  300+ bought in past monthNo featured offers available$7.49(1 new offer)",NA,"Stainless Steel","4.5 out of 5 stars"
"Tumbler"," +11Fimibuke 40 oz Tumbler with Handle & Carrier Bag, Stainless Steel Insulated Cup with Lid & Straw & Purse Pouch Phone Pocket, Gym Water Bottle Cupholder Friendly Women Men Travel Mug with Sleeve Holder  Stainless Steel4.6 out of 5 stars 461  Limited time deal   $13.99$13.99 List: $39.99$39.99 FREE delivery Thu, Feb 1 on $35 of items shipped by AmazonOr fastest delivery Wed, Jan 31 ",13,"Stainless Steel","4.6 out of 5 stars"
"Tumbler"," +22 colors/patterns40oz Stainless Steel Vacuum Insulated Tumbler with Lid and Straw for Water, Iced Tea or Coffee, Smoothie and More (Gradient Rainbow)  Stainless Steel4.6 out of 5 stars 1,000  500+ bought in past month$9.99$9.99 FREE delivery Thu, Feb 1 on $35 of items shipped by AmazonOr fastest delivery Tue, Jan 30 ",9,"Stainless Steel","4.6 out of 5 stars"
"Tumbler"," +19 colors/patternsBJPKPK Tumbler With Handle And Straw 30oz Insulated Tumbler Cups With Lid Stainless Steel Travel Coffee Mug,Lemon  Options:2 sizes4.8 out of 5 stars 788  200+ bought in past month$15.20$15.20 List: $18.99$18.99FREE delivery on $35 shipped by Amazon.",15,"788","4.8 out of 5 stars"
"Tumbler"," +3 colors/patternsHydroJug Traveler - Modern 40 oz Tumbler with Handle & Simple Flip Straw - Car Cup Holder Friendly, Leak Resistant Water Bottle-Reusable Insulated Stainless Steel & Rubber Base - Gifts for Women & Men  Stainless Steel4.4 out of 5 stars 47  2K+ bought in past month$39.99$39.99 ($13.33$13.33/Fl Oz)FREE deliverySmall Business  Small BusinessShop products from small business brands sold in Amazon’s store. Discover more about the small businesses partnering with Amazon and Amazon’s commitment to empowering them. Learn more ",39,"Stainless Steel","4.4 out of 5 stars"
"Tumbler"," ELYPRO - Tumbler Lid Organizer - Horizontal - Self-Adhesive Under-Cabinet Mount, Space-Saving Design, Holds Multiple Lids, Clutter-Free Kitchen Cabinets and Countertops Organization, Steel, Silver  500+ bought in past month$14.99$14.99FREE delivery on $35 shipped by Amazon.Small Business  Small BusinessShop products from small business brands sold in Amazon’s store. Discover more about the small businesses partnering with Amazon and Amazon’s commitment to empowering them. Learn more ",14,"500+ bought in past month",""
"Tumbler"," +2 colors/patternsBrüMate Era 30 oz Tumbler with Handle and Straw | 100% Leakproof Insulated Tumbler with Lid and Straw | Made of Stainless Steel | Cup Holder Friendly Base | 30oz (Verbena)  Stainless SteelOptions:2 sizes4.6 out of 5 stars 162  900+ bought in past month$39.99$39.99FREE deliverySmall Business  Small BusinessShop products from small business brands sold in Amazon’s store. Discover more about the small businesses partnering with Amazon and Amazon’s commitment to empowering them. Learn more ",39,"Stainless Steel","4.6 out of 5 stars"
"Tumbler"," +10 colors/patterns40 oz Tumbler with Handle and Straw Lid, 100% Leak-proof Travel Coffee Mug, Stainless Steel Insulated Cup for Hot Cold Beverages, Keeps Cold for 34Hrs or Hot for 10Hrs, Dishwasher Safe (GreenPurple)  🏆Best Tumbler with Lid4.6 out of 5 stars 2,137  2K+ bought in past month$24.99$24.99 List: $39.99$39.99 FREE delivery Thu, Feb 1 on $35 of items shipped by AmazonOr fastest delivery Wed, Jan 31 ",24,"🏆Best Tumbler with Lid","4.6 out of 5 stars"
"Tumbler"," +9 colors/patternsInsulated Skinny Stainless Steel Tumbler Set - 4-Pack 20oz Coffee Tumbler with Straw - Travel Coffee Mug With PBA Free Lids - Slim Vacuum Insulated Tumblers Keep Hot and Cold - Great for Home, Office.  Stainless Steel4.7 out of 5 stars 3,631  100+ bought in past month$15.25$15.25 ($3.81$3.81/Count) FREE delivery Thu, Feb 1 on $35 of items shipped by AmazonOr fastest delivery Wed, Jan 31 ",15,"Stainless Steel","4.7 out of 5 stars"
"Tumbler"," +20 colors/patterns30oz Blue Tumbler Stainless Steel Double Wall Vacuum Insulated Mug with Straw and Lid, Cleaning Brush for Cold and Hot Beverages  Stainless Steel4.6 out of 5 stars 13,008  600+ bought in past monthLimited time deal   $11.59$11.59 List: $16.99$16.99FREE delivery on $35 shipped by Amazon.",11,"Stainless Steel","4.6 out of 5 stars"
"Tumbler"," +1 color/patternREDUCE 14oz Coldee Tumbler with Handle for Kids Leakproof Insulated Stainless Steel Mug with Lid & Straw Keeps Drinks Cold up to 18 Hrs – Spill Proof Chew-Resistant Straw- 2 Pack  Stainless Steel300+ bought in past month$29.90$29.90 ($14.95$14.95/Count) List: $37.99$37.99FREE delivery on $35 shipped by Amazon.More Buying Choices$28.19(41 new offers)",29,"Stainless Steel",""
"Tumbler"," +17 colors/patternsZenbo 40 oz Tumbler with Handle–Stainless Steel Vacuum Insulated Mug Cup with Handle,Lid and Straw,Keeps Drinks Cold up to 34 Hours – Sweat-Proof Body, Dishwasher Safe  Stainless SteelOptions:2 sizes4.6 out of 5 stars 1,190  50+ bought in past monthLimited time deal   $11.49$11.49 Typical: $22.99$22.99 FREE delivery Thu, Feb 1 on $35 of items shipped by AmazonOr fastest delivery Wed, Jan 31 ",11,"Stainless Steel","4.6 out of 5 stars"
"Tumbler"," +11 colors/patterns40oz Stainless Steel Vacuum Insulated Tumbler with Lid and Straw for Water, Iced Tea or Coffee, Smoothie and More (Grain, 40 oz)  Stainless Steel4.7 out of 5 stars 386  400+ bought in past month$12.99$12.99 FREE delivery Thu, Feb 1 on $35 of items shipped by AmazonOr fastest delivery Tue, Jan 30 ",12,"Stainless Steel","4.7 out of 5 stars"
"Tumbler"," +4Ello Beacon Vacuum Insulated Stainless Steel Tumbler with Slider Lid and Optional Straw  Stainless Steel4.6 out of 5 stars 2,299  400+ bought in past month$9.59$9.59 List: $18.99$18.99FREE delivery on $35 shipped by Amazon.",9,"Stainless Steel","4.6 out of 5 stars"
"Tumbler"," +13 colors/patternsDouble Wall 18/8 Stainless Steel Vacuum slim skinny tumbler with straw and lid, insulated travel mug keeping beverage cold and warm (white, 20oz)  Stainless Steel4.6 out of 5 stars 1,318  Limited time deal   $5.90$5.90 Typical: $11.80$11.80 FREE delivery Mon, Feb 5 on $35 of items shipped by AmazonOnly 6 left in stock - order soon.",5,"Stainless Steel","4.6 out of 5 stars"
"Tumbler"," +17 colors/patternsYETI Rambler 42 oz Straw Mug, Vacuum Insulated, Stainless Steel, White  Stainless Steel4.8 out of 5 stars 4,053  1K+ bought in past month$45.00$45.00 FREE delivery Thu, Feb 1 Or fastest delivery Wed, Jan 31 ",45,"Stainless Steel","4.8 out of 5 stars"
"Tumbler"," Monterey Double Walled Insulated Plastic Tumbler with Straw and Built-in Coaster, BPA Free, 24oz  Silicone, Plastic4.2 out of 5 stars 501  1K+ bought in past month$9.79$9.79 List: $14.99$14.99 FREE delivery Thu, Feb 1 on $35 of items shipped by AmazonOr fastest delivery Tue, Jan 30 ",9,"Silicone, Plastic","4.2 out of 5 stars"
"Tumbler"," +9 colors/patternsALBOR 40 oz Tumbler With Handle and Straw, Coffee Tumblers with Lids and Straws, Insulated Tumbler With Lid And Straw, Insulated Tumblers, Stainless Steel Tumblers, Tumbler with Straw (Twilight Blue)  🏆Best Tumbler & HandleOptions:2 sizes4.7 out of 5 stars 7,804  200+ bought in past month$19.99$19.99 List: $24.99$24.99Join Prime to buy this item at $16.99 FREE delivery Thu, Feb 1 on $35 of items shipped by AmazonOr fastest delivery Wed, Jan 31 ",19,"🏆Best Tumbler & Handle","4.7 out of 5 stars"
"Tumbler"," +9 colors/patternsDOMICARE 20oz Tumbler with Lid Stainless Steel Tumblers Bulk, Double Wall Vacuum Insulated Coffee Travel Mug Powder Coated Tumbler (White/3D, 1)  Stainless Steel4.6 out of 5 stars 1,492  100+ bought in past month$5.99$5.99 FREE delivery Thu, Feb 1 on $35 of items shipped by Amazon",5,"Stainless Steel","4.6 out of 5 stars"
"Tumbler"," +24 colors/patternsSimple Modern Insulated Tumbler with Lid and Straw | Iced Coffee Cup Reusable Stainless Steel Water Bottle Travel Mug | Gifts for Women Men Her Him | Classic Collection | 24oz | Almond Birch  Stainless Steel4.8 out of 5 stars 23,672  1K+ bought in past month$23.99$23.99 FREE delivery Thu, Feb 1 on $35 of items shipped by AmazonMore Buying Choices$21.49(6 used & new offers)",23,"Stainless Steel","4.8 out of 5 stars"
"Tumbler"," +15Rambler 20 oz Stainless Steel Vacuum Insulated Tumbler w/MagSlider Lid  Stainless Steel4.8 out of 5 stars 114,655  3K+ bought in past month$35.00$35.00 FREE delivery Thu, Feb 1 Or fastest delivery Wed, Jan 31 More Buying Choices$33.76(10 used & new offers)",35,"Stainless Steel","4.8 out of 5 stars"
"Tumbler"," +14 colors/patterns20oz Tumbler Bulk Stainless Steel Vacuum Insulated Tumblers with Lid Double Wall Travel Mug Durable Powder Coated Coffee Cup, Suitable for Ice Drinks and Hot Beverage (Black 1pack)  Stainless Steel4.7 out of 5 stars 3,009  50+ bought in past month$12.99$12.99 ($1.62$1.62/Count) FREE delivery Mon, Feb 5 on $35 of items shipped by AmazonOnly 1 left in stock - order soon.",12,"Stainless Steel","4.7 out of 5 stars"
"Tumbler"," +29 colors/patternsBJPKPK 30 oz Tumbler With Lid And Straw Travel Coffee Mug Stainless Steel Insulated Thermal Tumblers Cup,Sakura  Stainless Steel, MetalOptions:2 sizes4.6 out of 5 stars 4,708  1K+ bought in past month$10.21$10.21 List: $14.99$14.99 FREE delivery Thu, Feb 1 on $35 of items shipped by AmazonOr fastest delivery Wed, Jan 31 ",10,"Stainless Steel, Metal","4.6 out of 5 stars"
"Tumbler"," +16 colors/patternsSYACOT 30oz Tumbler Double Wall Stainless Steel Vacuum Insulated Travel Mug with Splash-Proof Lid Metal Straw and Brush  Stainless Steel4.6 out of 5 stars 3,324  300+ bought in past month$13.95$13.95 List: $18.99$18.99 FREE delivery Thu, Feb 1 on $35 of items shipped by AmazonOr fastest delivery Wed, Jan 31 ",13,"Stainless Steel","4.6 out of 5 stars"
"Tumbler"," +14 colors/patternsBJPKPK Skinny Tumbler with Lid 20 oz Stainless Steel Vacuum Insulated Double Wall Travel Coffee Water Tumblers Cup,White  Options:2 sizes4.4 out of 5 stars 1,488  1K+ bought in past month$10.24$10.24 List: $13.99$13.99 FREE delivery Thu, Feb 1 on $35 of items shipped by Amazon",10,"1,488","4.4 out of 5 stars"
"Tumbler"," +2 colors/patternsTrebo 40oz Tumbler with Handle and Pouch, Insulated Cup with Straw 2-in-1Lid,Double Walled Stainless Steel Mug,Reusable Water Bottle Travel Flask for Cup Holder,Keep Cold Hot,Gifts for Girl,Blue Pink  🔥Tumbler with Pouch4.4 out of 5 stars 56  200+ bought in past monthLimited time deal   $16.49$16.49 Typical: $32.99$32.99 FREE delivery Thu, Feb 1 on $35 of items shipped by AmazonOr fastest delivery Wed, Jan 31 ",16,"🔥Tumbler with Pouch","4.4 out of 5 stars"
"Tumbler"," +13 colors/patterns40 oz Tumbler with Handle and Straw,Reusable Vacuum Quencher Tumbler with Lid,Stainless Steel Insulated Travel Mug,for Coffee and Beverages(Rose Quartz)  Stainless SteelOptions:2 sizes4.4 out of 5 stars 148  100+ bought in past month$18.99$18.9910% coupon applied at checkoutSave 10%  with coupon  FREE delivery Thu, Feb 1 on $35 of items shipped by AmazonOr fastest delivery Wed, Jan 31 ",18,"Stainless Steel","4.4 out of 5 stars"
"Tumbler"," +5 colors/patternsOwala Stainless Steel Triple Layer Insulated Travel Tumbler with Spill Resistant Lid, Straw, and Carry Handle, BPA Free, 40 oz, Gray (Iced Tea)  Stainless Steel4.8 out of 5 stars 749  4K+ bought in past month$37.99$37.99 FREE delivery Thu, Feb 1 Or fastest delivery Wed, Jan 31 More Buying Choices$29.02(4 used & new offers)",37,"Stainless Steel","4.8 out of 5 stars"
"Tumbler"," +23 colors/patternsSUNWILL 20oz Tumbler with Lid, Stainless Steel Vacuum Insulated Double Wall Travel Tumbler, Durable Insulated Coffee Mug, Powder Coated Navy, Thermal Cup with Splash Proof Sliding Lid  Stainless SteelOptions:2 sizes4.5 out of 5 stars 24,311  900+ bought in past month$12.99$12.99 List: $15.99$15.99 FREE delivery Thu, Feb 1 on $35 of items shipped by AmazonOr fastest delivery Wed, Jan 31 ",12,"Stainless Steel","4.5 out of 5 stars"
"Tumbler"," +11YETI Rambler 30 oz Stainless Steel Vacuum Insulated Tumbler w/MagSlider Lid  Stainless Steel4.8 out of 5 stars 65,911  3K+ bought in past month$38.00$38.00 List: $44.96$44.96 FREE delivery Thu, Feb 1 Or fastest delivery Tue, Jan 30 ",38,"Stainless Steel","4.8 out of 5 stars"
