"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"anthony-zappia","30 December 2014","This film was a real surprise to me. I was expecting something that was a cross between Kevin Sorbo's TV show and Wrath of the Titans. But the producers chose a completely different direction for this re-telling. Aside from the shorts at the beginning we see no monsters. Nor do we see beautiful gods and goddesses. Hercules' greatest enemy in this story is the very real (and human) threat of betrayal and treachery. And rather than a one man- show, we see Hercules aided by a band of loyal friends who are every bit as skilled as the demigod. The film raises the question what is more important: what others believe of you or what you believe about yourself? The film has a bevy of great actors including John Hurt, Ian McShane and Rufus Sewell and I think Dwayne Johnson is perfect for the main role.","
            6/10
            "
"adamscastlevania2","21 August 2014","(58%) A movie that could have quite easily dipped into crap territory is saved by well directed and plentiful action, good production values, Mr Johnson being a perfect leading man, John hurt calling Hercules a ""filthy bastard"" and ""Atalanta"" (bow-girl) looking uncannily like Nicole Kidman from the early 90's. The fact that it doesn't take itself too seriously is a benefit, but I'd have liked the script to be a little stronger and the humour to be sharper, as it does stop this from being a full recommendation from me. That said it's still a decent little watch that gets better as the plot thickens in it's second half, but before that arrives it's just a little too dumb to grab my full attention.","
            9/10
            "
"TheOneThatYouWanted","16 November 2017","Hercules I can not believe it took me this long to finally watch this because I love the Rock and I love action. Anyway, this is one of those great action films you can watch at any age and enjoy. However it is the type you movie you have to watch completely to get the full effect because the last 20 minutes are where the film really pays off with all the set pieces in place. Great family film and a great film in general.","
            7/10
            "
"acutler","26 July 2014","OK the trailer said this wasn't the legend we had heard. But the trailer did showcase mythical creatures and implied we would still see ""The Son of Zeus""And here lies the film's problem. And it isn't really the film's problem at all - it is the trailers!It simply means that the entire audience start watching the film and within 5 minute experience a massive downer on the film as it appears Hercules is a fraud, a common mercenary living off his fake tales.If the trailer was done properly this would not be a problem, because if you can put the trailer and the marketing out of your mind, what you actually have is a decent popcorn flick that is by far the most compelling telling of Hercules on-screen since the animated Disney tale, and in many respects it surpasses that tale in a much more satisfying manner.The trailer should NOT have shown any of the mythical elements, which belong to dream sequences and tales within tales, barely 5 minutes of the movies running time.Forget the trailer, enjoy the movie for what it is. It is not first class, but for Brett Ratner it is surprisingly coherent story-telling, and The Rock and his fellow actors sell the rather predictable twists with surprising humanity. Much worse is offered at the summer box office.","
            7/10
            "
"zaphodalive","31 October 2014","A lot of people went into this movie with expectations that this would follow the mythology, and I think that's what let them down. However, as an artistic representation of not only the myths, but a possible truth behind the myths, this was an entertaining watch.I'm only vaguely familiarly with the mythology, but I know enough to know the way it was represented. This film represents that mythology in a different way - more genuinely believable, and less fantastic - but blends the original mythos in in a way I found very interesting. A lot can be forgiven for an intelligent, new look at an old story, and I don't think this film needs to be forgiven very much at all.The story was fairly well rounded with a some light/moderate complexity to it which was nice, and it was much less far-fetched than I thought it would be. The acting was - in general - excellent, with only one or two instances where I thought it was a bit too cheesy or overdone.Dwayne Johnson was fantastic; having seen him in several films I was expecting a less solemn, more caricatured, performance. But he was excellent, and I have gained a little more respect for him as a serious actor (though I wouldn't cast him outside head-bashing quite yet).Overall an underrated movie in my opinion, and definitely worth a watch if you like a good story.","
            8/10
            "
"PWNYCNY","8 August 2014","Surprisingly, this movie has a coherent story and almost succeeds in actually being dramatic. Dwayne Johnson delivers an impressive performance as Hercules, half-god/half human, who has to prove to the world that he is for real, and not just a hyped up legend. It would be easy to dismiss this movie as just another overblown live cartoon with a bunch of comic book characters with personalities that are about as deep as a puddle of water. But that would not be accurate. The movie actually deals with certain themes that give the story depth (yes, depth). One can root for Hercules without being embarrassed and can take the movie seriously. The problem with the movie, and this is a problem for all these action-adventure half sci-fi-half fantasy movies, is that they are so obviously potboiler productions that even when an effort is made to actually tell a serious story, it still comes across as cheesy. But that's just the nature of the genre.","
            6/10
            "
"moviexclusive","23 July 2014","Many box-office prognosticators have their bet on 'Hercules' to be the first expensive summer flop of the year, and - truth be told - before we saw Brett Ratner's take on the Greek demigod, we were just as unimpressed by what the trailers and the poster made it out to be. But the marketing of this utterly cheesy but surprisingly entertaining swords and sandals epic missed out one crucial point in its over- eagerness to sell the combat spectacle - it is also very intentionally funny.In deconstructing the myth for a modern-day summer popcorn viewing audience, Ratner and his writers Ryan J. Condal and Evan Spiliotopoulos have drawn their inspiration from Steve Moore and Admira Wijaya's graphic novels 'Hercules: The Thracian Wars' and placed our titular hero squarely in reality. As the opening narration cheekily warns, this isn't going to be the legend you're familiar with; rather, it uses the legend - including his fabled 12 labours - as no more than hearsay which his nephew tells to motivate the troops Hercules is leading into battle.But really, Hercules is just a mere mortal with superhuman strength here, who leads a band of mercenaries helping kings and queens to slay beasts and conquer foes for a return in gold. Besides his aforementioned nephew Iolaus (Reece Ritchie) who longs to prove himself in battle, the rest are just as fearless as Hercules himself - including the knife- throwing Autolycus (Rufus Sewell) with his witty asides, the spear- wielding seer Amphiaraus (Ian McShane), the super-sexy Amazon archer Atalanta (Ingrid Bolsø Berdal), and the brutish Tydeus (Aksel Hennie). They are as tightly knit a crew as anyone can ask for, and fiercely loyal to Hercules to whom they owe their lives.As man, Hercules finds himself haunted by the death of his wife and children three years ago while in the kingdom of King Eurystheus (Joseph Fiennes). Accused as a murderer in Athens, Hercules is hack for hire by the ruler of Thrace, Lord Cotys (John Hurt), who enlists his crew to defeat a warlord rumoured to be a centaur and into the dark arts. That is the excuse for the first of many well-choreographed battle scenes, which Ratner stages with more verisimilitude than one has come to expect from similar such genre pictures. Though a trained viewer can still pick out the CGI, these scenes are nevertheless exciting and thrilling, combining good old-fashioned formation tactics with Ben Hur-like chariot chases and some Lord-of-the-Rings type one-versus-many pounding.Those looking for some 'Game of Thrones' intrigue need not apply; indeed, the narrative here is as straightforward as it gets, no matter the minor twist two-thirds into the film that has Hercules struggling to make a moral choice when he realises that he and his crew may have been manipulated by Lord Cotys himself. It does however offer enough to give Dwayne Johnson to flex his dramatic muscles as Hercules, as his call of conscience gives him an opportunity to grow into the hero behind the legend. That is of course nothing compared to the physical weightlifting which Johnson is called to do in the movie, the inevitable demands of the role only demonstrating why he is such a perfect fit for it. It is difficult to imagine any other Hollywood actor today than Johnson in the character, but it is more than just his physique that we are referring to here. Yes, Johnson also couples that with charm, charisma and comic timing, attributes of which play nicely to Ratner's neat balance of camp and solemnity in tone. Johnson is also joined by a stellar ensemble, in particular Hurt's scene-chewing performance as the duplicitous ruler. Coming after such pompous predecessors like the god-awful 'Clash of the Titans' and its sequel 'Wrath of the Titans', as well as other copycats like 'Immortals' and even this year's 'The Legend of Hercules', Ratner's 'Hercules' comes almost like a breath of fresh air. It embraces its B- movie roots, doesn't try to be more than what it is, serves up a generous dollop of tongue-in-cheek fun and engaging battle action on an epic scale. Ignore the cynics - this is pure pulpy entertainment that is perfectly serviceable summer movie-going fun. After all, it takes a certain kind of movie that dares to reserve a zinger like 'f**king centaur' for its lead character in fourth-century BC.","
            8/10
            "
"Tyson14","31 July 2014","If this had been headlined by anyone other than Dwayne Johnson then I'm not sure I'd have turned up at the cinema. Even then it was a bit touch and go. What could this sword and sandals flick offer that wasn't already covered by many others the last fifteen years? It turns out Hercules is pretty unique in its attempt to say something important about the world we live in, layered beneath the many coloured imagination of director Brett Ratner and the needs of a PG12 rating.Hercules is one of the great legends of ancient Greece, the half human son of Zeus. The slayer of mighty beasts and a single man able to face down whole armies. Or so the legend says.It has been three years since Hercules was banished from Athens for the alleged murder of his wife and children. He now roams the lands around the Aegean sea, a mercenary for hire, along with his small band of loyal soldiers. When a beautiful princess asks Hercules to save her father's once proud kingdom from marauding centaurs, the offer of payment in gold to Hercules weight is too good to refuse. As Hercules trains the rag tag army of this beleaguered nation and leads them to battle, Hercules and his men realise not all is it what it seems. When Hercules's past turns around and confronts him face on he has to also face the reality of his own legend.Despite an often flat first half carried on the very broad shoulders of our man Dwayne, we realise at the mid-point a quite interesting premise has been played and the second half is quite something. Dwayne is always charismatic if not possessed of the ease Rufus Sewell and Ian McShane have in front of camera, both of which almost steal the show. Hercules small band of warriors work well together although Ian McShane in particular has all the best lines and moments, memorably towards the end.Ultimately this is very watchable, a good way to spend a few hours on a Friday night. It has a very worthwhile message, is underpinned by great actors and is clever, at least in the second half. But there is something missing. This is a PG12, which means for all the violence, of which there is a lot, there is nothing to ground it as real violence. Hercules has heart but it's a long way short of Conan (1982) and a league apart from Gladiator (2000). By giving it such an unrealistic context, violence without reality, to achieve a younger audience it detracts from the core message, so painstakingly woven through the story.Hercules is good entertainment with something important to say if you're willing to overlook a few shortcomings, mostly around catering for a younger audience.","
            5/10
            "
"coltsfan18288","24 July 2014","Look, I know going into a Brett Ratner film starring The Rock as Hercules shouldn't have expectations high, but I expected more from this. Right from the start of the film we are immersed into a world without character development and rushed story telling. The action scenes are all very well shot (by PG-13 standards) but everything else is subpar. Besides Dwayne Johnson most performers range from hammy to awkward, and the special effects are nothing special. If you are capable of 100% turning your brain off, I'm talking Transformers level, you may be able to enjoy this film. But all others need not give this myth any more life.","
            6/10
            "
"SnoopyStyle","15 March 2015","It's 358BC. Hercules (Dwayne Johnson) is a world wearied mercenary with his nephew Iolaus spreading his legend of the Twelve Labors. With seer Amphiaraus (Ian McShane), sharp-tongued Spartan Autolycus (Rufus Sewell), mute Tydeus and Amazonian Atalanta, the group works for gold. Three years earlier, he returned to Athens ruled by King Eurystheus (Joseph Fiennes) after his heroic Twelve Labors. He hoped to live in peace with his family but his family was slaughter. Ergenia is the daughter of Lord Cotys (John Hurt), the ruler of Thrace. They hire the mercenaries to battle a sorcerer named Rhesus with an army of Centaurs.I really like the idea of a man Hercules living the legend of Hercules. Dwayne Johnson is a terrific charismatic presence. He is what's right about the movie and none of what's wrong can be laid at his feet. The movie shows flashes of what it is intended to be. The problem is that director Brett Ratner screws it up a little at a time. The movie should make it clear at the beginning that Hercules' legend is all exaggerations. This should be a movie debunking all of the legend. Only at the end should the movie show his one moment of supernatural strength thereby proving his legend. Also Lord Cotys' turn has to be much more overt for Hercules to change his mind. Ratner doesn't have it in him to be truly great.","
            7/10
            "
"jb_campo","24 June 2015","I liked Hercules because The Rock knows how to give the audience what they want in these types of films. He will flex his muscles, do incredible things, have some kick-butt fights, and stand up for good against evil. sounds like most of his movies, just a different time/era. The plot is that Hercules is not really a god, but goes around convincing people of his achievements by glorious storytelling, with his merry band of warriors, a la Robin Hood. He is hired by a rich guy to fight against some bad guys. Then he starts to question what is the truth here, and the plot thickens.Of course he had a beautiful wife, and brave companions. Lots of people get killed. that's what I expected, and was not let down.I liked this movie for pure entertainment and mindless good versus evil. Set expectations correctly, and you should like it too. enjoy.","
            5/10
            "
"aharmas","4 August 2014","At first I didn't think ""The Rock"" would make a good Hercules, but once I saw the film I couldn't say anything negative about him. The demi-god is after all not big on words, and this is not Shakespeare. Plus, he's got the physical attributes and the persona to pull off this job. The movie producers did a good job putting on the screen what this historical period must have looked like, and the effects are not bad at all. It was also a pleasure to see some good actors playing nasty: Fiennes and Hurt were very effective, and they chewed the scenery when required.So what happened? If you are a fan of mythology, you will be disappointed because the film only addresses the myths in reference, and we barely get a chance to see them. The film deals with a completely different ""period"" of Hercules' life, and it wasn't the best the writers could come up with. Once again, heavy on the effects and looks and not enough care going into the writing.Maybe if you are willing to sit through some barely amusing battle scenes that are easily surpassed by some of the thrills in the less seen ""Pompeii"", a film that at least had some respect for its source and spent more time in the choreography of the gladiators' fights and took care to focus on the destruction of the city. Yes, I was impressed by the destruction of the big statue here, but I would have liked to see more of the demi-god powers than a last minute turn of events to prove a point.Leave your brain outside, sit and enjoy the air conditioning and get ready to get in ""Transformers"" mode, and you'll be pleased with the loud effects and the thin storyline.","
            3/10
            "
"utgard14","2 November 2014","Earlier this year we had the ridiculous Legend of Hercules. Now we have this, directed by Brett Ratner, who sucks at life as well as filmmaking. I'm not surprised in the slightest that he would produce a movie lacking in any merit whatsoever. It's a textbook example of a big dumb action movie. Which is fine, in and of itself. I'm not a film snob. I've enjoyed many BDA movies over the years. But I generally like the ones that have something interesting about them to recommend: great action, snappy one-liners, colorful characters, good special effects, some sense of style. This has none of that. It's a shockingly dull action movie. Dwayne Johnson's Hercules is no fun at all. His line delivery is monotonous. He rarely, if ever, smiles. His hair, beard, and dirty appearance make him look like he belongs roasting weenies on a hobo fire under an overpass somewhere. Well, roasting weenies and injecting steroids. He's surrounded by respected British actors slumming for a (hopefully) good payday.There's not a unique moment in the movie. It's all cribbed from other fantasy/action movies. The set pieces are all uninspired. The CGI is spotty, particularly for a major theatrical release. It's really just a boring movie with no value and nothing to recommend about it. Dwayne Johnson may be The Rock and have personality to spare, but movies like this do him no favors. He's not a serious dramatic actor. He needs to stick to lighter roles that play to his strengths. Avoid pieces of excrement like this.","
            7/10
            "
"gianmarcoronconi","2 October 2021","Film in its own way very nice, certainly not a masterpiece and not an indispensable film to see, but if you want to watch a film set in antiquity with a lot of action and without particular pretensions this film does its good job of entertainment.","
            2/10
            "
"soundwave86","5 August 2014","If you're a fan of the Mythology of Hercules in any way, shape or form and expect to see it in this film, you will be sorely disappointed. This film has pulled a complete ""World-War-Z"" and left absolutely EVERYTHING about the original mythology out except for the fact that it is called ""Hercules"". But what about all that awesome trailer footage? You know, of Hercules and his amazing feats of heroism? Surprise! Nothing but trailer fodder that is all over in the first 2 minutes of the film. The main focus and theme of the film is how Hercules is NOT the Hercules from myth and legend. So right off the bat the trailer has straight up lied to you. But don't worry, what they leave out from the actual mythology of Hercules they more than make up for in plot points that are VERY BLATANTLY stolen from every other medieval/ancient era epic film made in the last 20 years. Everything from beginning the film with the ever popular ""you think you know the story of Hercules? Here's the REAL story of Hercules"" narrative, to timeless cliché classics like ""sidekick leaves due to differing views but returns during climactic battle to save the day"". Even if you aren't looking for a true-to-its-roots Hercules movie, this movie is so completely generic you could substitute just about any other epic of the same genre and you'd swear it was the same movie. Right down to the costumes and battle sequences. The story is painfully predictable, the jokes are hammy and don't fit the tone of the genre, the characters are stock, wooden and forgettable, the fight scenes are boring, the action is unsatisfying.Bottom line, if you aren't a Hercules fan looking for actual Hercules action then you'll be less disappointed than I, but I would still recommend skipping it and saving your money by simply watching Troy/Braveheart/Kingdom of Heaven/Beowulf/Robin Hood/300 instead; the experience will be the same, I promise. However, if you have ever enjoyed the mythology of Hercules and want to see some of it brought to life then this is not the film for you. It is the cinematic equivalent of biting into a chocolate chip cookie only to find out they're actually raisins.","
            7/10
            "
"neil-476","8 August 2014","Hercules and chums are mercenaries, pressed into service for Lord Cotys to put down a rebel uprising which looks likely to overthrow the throne.The trailer teases this movie as being a myths and monsters movie: it isn't. It's a fairly routine swords and sandals actioner, and the mythical critters teased in the trailer all come before the opening title, and are either tall tales depicted, or things seen unclearly from a distance. What is left is a rather dark film with a lot of battle action, pitched uneasily at a level which is too graphic for family viewing and not graphic enough for those who like blood and dismemberment.There is a single F word - unnecessary and out of place.Dwayne Johnson does this stuff well - he looks good, has great physical presence and, even when the part is somewhat darker than usual, he remains very likable. The supporting cast are all quite good - it was interesting to see Rufus Sewell playing a goodie for once (kind of like a young Ian McShane even though McShane was also in the film, with all the best moments of humour), and John Hurt gets to play both ends of the spectrum, meek and scenery-chewing.I quite liked this - it is certainly a lot better than this year's previous Hercules offering - but felt that it was a missed opportunity: they promised me monsters and then didn't deliver them!","
            8/10
            "
"sauravjoshi85","18 January 2019","The movie is a period movie and full credit to Dwayne Johnson for playing the role with perfection. This movie might not be as grandeur as Gladiator or as gorgeous as 300 but still this movie possesses a charm in it. The start of movie is little slow but it will not disappoint you. If not perfect then a good period drama.","
            6/10
            "
"boblipton","10 October 2020","Dwayne Johnson plays Hercules as he goes from a mercenary for John Hurt -- the English one -- to someone with a conscience.I expected this to be about as ridiculous as The Legend of Hercules, released the same year. I was pleasantly surprised. Not only is the production and cast first rate, with some fine cinematography by Dante Spinotti, but director Brett Ratner's staging allowed me to play the ""where did they lift that shot from"" game; I identified bits from SAMSON AND DELILAH, SPARTACUS, and CONAN THE BARBARIAN during the denouement alone.It's based on a graphic novel by Steve Moore. Because he got no money from it, Moore asked fr his name to be removed from the credits. He died soon after he made the request, and so wound up not only with the credit, but a dedication. All free to the producers!","
            6/10
            "
